spotifyId,spotifyUri,name,artist,album,duration,genre,sadnessScore,joyScore,angerScore,fearScore,surpriseScore,danceability,energy,valence,acousticness,instrumentalness
6bTmPDB533g2zOnHFFfA8R,spotify:track:6bTmPDB533g2zOnHFFfA8R,Se o Coração Viajar,/paula-fernandes/,Meus Encantos (Brazil Version),256786,sertanejo,0.0544158998178316,0.7245370351010929,0.0663209167774765,0.0479167187819256,0.0212113801389931,,,,,
3NbCcMnBIAOpQ40vNjpgLo,spotify:track:3NbCcMnBIAOpQ40vNjpgLo,Costumes,/paula-fernandes/,Paula Fernandes Ao Vivo (Live From São Paulo / 2010),241226,sertanejo,0.195688862208044,0.014802427089307,0.2078031781129536,0.1996347894892094,0.0161001700907943,,,,,
5eRzzRKDK0rjQadOtyFwZ3,spotify:track:5eRzzRKDK0rjQadOtyFwZ3,Tocando Em Frente (Part. Leonardo),/paula-fernandes/,Paula Fernandes Ao Vivo (Live From São Paulo / 2010),209386,sertanejo,0.0379718291107562,0.8354805686976754,0.0343330869101917,0.0295734752900898,0.0122297955676912,,,,,
6zoCGLQJPcecedGcbAzdkT,spotify:track:6zoCGLQJPcecedGcbAzdkT,You're Still The One (feat. Shania Twain),/paula-fernandes/,Encontros Pelo Caminho,214440,sertanejo,0.1825718390173276,0.0654588428442361,0.210070004686713,0.1884887027554213,0.0166601707460357,,,,,
5GqGypWJIx3nLLFrvOrqcj,spotify:track:5GqGypWJIx3nLLFrvOrqcj,A Paz Desse Amor,/paula-fernandes/,Amanhecer,237306,sertanejo,0.4868271352723238,0.3079330382170149,0.0901519818697123,0.0402089971583335,0.0268377985339609,,,,,
6Jz5wwmBGdBtdTXzjjvYxF,spotify:track:6Jz5wwmBGdBtdTXzjjvYxF,Cuidar Mais de Mim,/paula-fernandes/,Meus Encantos (Brazil Version),230680,sertanejo,0.1957469123415646,0.7401537155965339,0.0213304656324904,0.0205342235974966,0.0130161247216162,,,,,
0jJvg6AilLLzLlvsIQXtyL,spotify:track:0jJvg6AilLLzLlvsIQXtyL,Navegar em Mim,/paula-fernandes/,Paula Fernandes Ao Vivo (Live From São Paulo / 2010),207266,sertanejo,0.2188348690047857,0.4047225008253001,0.1355361495167014,0.0793187370523809,0.02106628351612,,,,,
7tmb6iB17kV0LNjE1TMFxi,spotify:track:7tmb6iB17kV0LNjE1TMFxi,A Chuva,/paula-fernandes/,Paula Fernandes Ao Vivo (Live From São Paulo / 2010),229133,sertanejo,0.0176079483528153,0.9126789085566994,0.0192449642228891,0.0163179906550793,0.0127205820754168,,,,,
1wrAagXqiUM2CFU7lD11LU,spotify:track:1wrAagXqiUM2CFU7lD11LU,A Majestade o Sabiá (Part. Roberta Miranda),/paula-fernandes/,Multishow Ao Vivo Paula Fernandes - Um Ser Amor (Deluxe Version / Multishow Ao Vivo / 2013),248693,sertanejo,0.0207218642404766,0.8923908751457924,0.0251155494712291,0.0184088842303025,0.008952055359259,,,,,
7g7vi0zdiH4cPJTR9GKxGd,spotify:track:7g7vi0zdiH4cPJTR9GKxGd,Água no Bico,/paula-fernandes/,Amanhecer,201000,sertanejo,0.1676131406798956,0.0547143193252844,0.4953881356865165,0.1008608661592005,0.0142301934538407,,,,,
