,Nome da Música,ID do Artista,Letra Tratada,Raiva,Medo,Alegria,Tristeza,Surpresa,Gênero,Valor
252795,"Manda Fogo, Senhor",/igreja-crista-maranata/,x manda fogo senhor mandar fogo senhor batizar coracao senhor batizame senhor batizame senhor batizame mandar fogo senhor mandar fogo senhor batizar coracao,0.2021955235861238,0.1957981914340051,0.0095110558904706,0.1982360443682405,0.0038887476257511,rock,1
252796,Maravilhoso É Servir A Deus,/igreja-crista-maranata/,passar prova vezmai Deus Confio abandonaraor fogo forte pensar so restar morte deus livrar daniel deus tambem livrar senhor rocha senhor fortaleza senhor vencer batalha senhor vencerar coro maravilhoso servir deus deixar so seusnao rejeitar oracao de o Servosminha lagrimo enxugara maravilhoso servir deus prazer abencoarnaor importar fogo de este prova mao deus ira sustentar ate prova passar voltar senhor ira sustentar ate prova passar ate prova passar,0.1610281196655701,0.1377985410392282,0.2029110088478771,0.2149173481622709,0.0126290633343158,rock,1
252797,Meditarei Nas Maravilhas do Senhor,/igreja-crista-maranata/,meditarei em o maravilhas de o senhor falarar de o nacoes celebrarar majestade de o senhor proclamarei justica terra sao tuo obra es fiel eternamente bis exaltarteeir deus es rei glorificarei nome viver repetir x de o senhor de o invocar,0.1776862395694476,0.1620337494881822,0.121170778525993,0.207862905785441,0.0107442931039256,rock,1
252798,Meu Coração Engrandece Ao Senhor (cântico de Vitória),/igreja-crista-maranata/,coracao engrandecer a o senhor mudar fezme andar vereda nao conhecer iluminar pes nao tropecar coracao jubilar alegria vir morar habitacao pro espirito colocar cantico labios nao conhecer por o espirito conhecer desperto desperto dorme dorme deixar sol deixar sol resplandecer vida instrumento sol despontar cidade convoco adorar jerusalem morado de o deus vivo criador de o universo mao escolher mao poderoso faco morar coracoes rejubila rejubila vira gloria vo poderel levantar estandarte nacoes proclamar rei,0.153752723126672,0.1389258333947508,0.252345776185393,0.1671307159122076,0.0160209235036744,rock,1
252799,Meu Deus Vence Batalhas,/igreja-crista-maranata/,deus vence batalha Deus quebra muralha fraquejar mao estao sustentar deus forte nome emanuel parecer vitoria dara clameio em o angustia ouvir clamor deus comigo nao Temo perigo salvador nao comparar prata comparar a o ouro jesus tesouro vencer repetir louvor clamir em o angustia ouvir clamor deus comigo nao Temo perigo salvador nao comparar prata comparar a o ouro jesus tesouro vencer deus vence batalha,0.1883694844786075,0.1820960949175059,0.0883499197661875,0.2238866066094483,0.0151916763279585,rock,1
252800,Meu Jesus,/igreja-crista-maranata/,jesus jesus querer servir agradecerte instante obra eis querer cumprir dia viver coro nao desistir olhar pra tra guardar vencedor permanecer engrandecer por o amor instrumento prazer ti cantar aguardar dia voltara jesus querer receber galardao guardar por o amor,0.1347355660167519,0.1119506055605596,0.303740174975246,0.2187575546908187,0.0114711372880263,rock,1
252801,Meu Louvor É Só Pra Ti,/igreja-crista-maranata/,louvor so pra ti senhor salvador autor de o fe adoracao senhor pertencer ti eterno redentor mudaste viver guiastar em o luz comprastar vida senhor grato senhor grato jesus grato jesus,0.7932980500976553,0.0341574223479255,0.0274004207458345,0.0761902131256642,0.0040926503716034,rock,1
252802,Meu Violão,/igreja-crista-maranata/,Violao venho pedir em este cancao musica tocar coracao pra falar entregar entregar senhor ti senhor ti problema vida familiar igreja tomar Deus causa nao cansar buscar nao cansar ti orar preciso deus preciso precisar junto dir de o senhor deus refugio fortaleza em ele confiarei nao temer problema vida familiar igreja tomar Deus causa nao cansar buscar nao cansar ti orar preciso deus preciso precisar junto precisar junto,0.1506885685957965,0.129485029960051,0.133237524423748,0.3253229786641891,0.0112821158836594,rock,1
252803,Momento Sublime,/igreja-crista-maranata/,pai nao amor pensamento jamais alcancar senhor taoer sublime alegrio tao real fazerme viver coro em este hora coracoe amar lour ti es amor unemr por o laco de o amor senhor nascer lar bencao zelo olhar templo de o espirito morado estendese casa voce jesus so morte poderar separar pra amar x em o alianca hoje eterno eterno palavra deus abrir olho atento ouvir oracao hoje ha junto suplicar,0.2054599988739934,0.1724822053918614,0.0554126838687802,0.2184216950670811,0.0090030860155818,rock,1
252804,Na Alegria Ou Na Dor,/igreja-crista-maranata/,em o alegria em o dor em o alegria em o dor preciso de o senhor viver nao vida sofrer coro em o terra em o cer em o mar mao irao guiar aflicao cristo ouve Minhoracao vir livrar de o bondade igual,0.1977265395340506,0.1875340233324094,0.0280010855058207,0.2100655306945551,0.0038941658567635,rock,1
252805,Na Expressão Deste Louvor,/igreja-crista-maranata/,em o expressao de este louvor querer a o senhor gratidao mui feliz dever a o salvador em ele perdao em ele salvacao taoer feliz coro em o adorar senhor vencestar em o Cruz em o adoramos senhor has voltar em o adorar senhor es razao motivo de o adoracao la em o Cruz morrer jesus sangue derramar fardo levar hoje livre corar x em o,0.1826034828089173,0.1087489200988782,0.303654497489333,0.1837979660602281,0.0107928871875626,rock,1
252806,Na Imensidão,/igreja-crista-maranata/,em o imensidao paz amor puder encontrar deus criar deume amor hoje de ele poderar de ele afastar tao feliz separarar nudez perseguicao fome angustir aflicao morte enfim poderar afastar de o amor repetir louvor tao feliz,0.1463278720388186,0.1304985160008072,0.1331619438715277,0.3437344934558491,0.0088968768250195,rock,1
252807,Não Sei Se Ouviste Falar,/igreja-crista-maranata/,nao ouviste falar rei morrer pra salvar sangue puro derramar holocausto entregar amor coro viver querer salvar entregar vida ira mudar jesus eterno redentor rei de o gloria senhor procurar alegria nao consegue encontrar so jesus alegria cessar servir jesus dia ira surgir conduzirar a o santo eterno lar cantar coro x instrumento cantar coro x viver,0.1704364142846313,0.1424649592721833,0.1244445163756607,0.2712658103322606,0.0138376271352168,rock,1
252808,"Não Temas, Pois Te Escolhi",/igreja-crista-maranata/,nao tema escolher remi nao tema contigo passar nao lembrar deus abrirar coro por o aguo passar contigo estarar por o fogo passar nao queimara Deus senhor salvador anunciei salvei fiz ouvir nao ha deus salvador precioso a o olho ameir de eu operar impedirar por o aguo salvador estarei Contigo salvador,0.2189894626848396,0.1359307014849036,0.0775530452374366,0.2945520698907782,0.0114368229988029,rock,1
